province,sex,age_range,education,n
Nova Scotia,Male,60-69,Graduate+,7
Nova Scotia,Male,60-69,Highschool,66
Nova Scotia,Male,60-69,"NA",2
Nova Scotia,Male,60-69,No Highschool,35
Nova Scotia,Male,60-69,Undergraduate,23
Nova Scotia,Male,70-79,Graduate+,16
Nova Scotia,Male,70-79,Highschool,48
Nova Scotia,Male,70-79,No Highschool,24
Nova Scotia,Male,70-79,Undergraduate,17
Nova Scotia,Male,80-89,Graduate+,3
Nova Scotia,Male,80-89,Highschool,20
Nova Scotia,Male,80-89,"NA",2
Nova Scotia,Male,80-89,No Highschool,19
Nova Scotia,Male,80-89,Undergraduate,3
Ontario,Female,18-29,Graduate+,12
Ontario,Female,18-29,Highschool,161
Ontario,Female,18-29,"NA",1
Ontario,Female,18-29,No Highschool,18
Ontario,Female,18-29,Undergraduate,64
Ontario,Female,30-39,Graduate+,79
Ontario,Female,30-39,Highschool,202
Ontario,Female,30-39,"NA",5
Ontario,Female,30-39,No Highschool,11
Ontario,Female,30-39,Undergraduate,137
Ontario,Female,40-49,Graduate+,88
Ontario,Female,40-49,Highschool,226
Ontario,Female,40-49,"NA",6
Ontario,Female,40-49,No Highschool,18
Ontario,Female,40-49,Undergraduate,152
Ontario,Female,50-59,Graduate+,58
Ontario,Female,50-59,Highschool,309
Ontario,Female,50-59,"NA",6
Ontario,Female,50-59,No Highschool,24
Ontario,Female,50-59,Undergraduate,116
Ontario,Female,60-69,Graduate+,64
Ontario,Female,60-69,Highschool,349
Ontario,Female,60-69,"NA",9
Ontario,Female,60-69,No Highschool,57
Ontario,Female,60-69,Undergraduate,104
Ontario,Female,70-79,Graduate+,35
Ontario,Female,70-79,Highschool,266
Ontario,Female,70-79,"NA",6
Ontario,Female,70-79,No Highschool,93
Ontario,Female,70-79,Undergraduate,73
Ontario,Female,80-89,Graduate+,11
Ontario,Female,80-89,Highschool,153
Ontario,Female,80-89,"NA",7
Ontario,Female,80-89,No Highschool,72
Ontario,Female,80-89,Undergraduate,22
Ontario,Male,18-29,Graduate+,13
Ontario,Male,18-29,Highschool,162
Ontario,Male,18-29,"NA",4
Ontario,Male,18-29,No Highschool,12
Ontario,Male,18-29,Undergraduate,36
Ontario,Male,30-39,Graduate+,62
Ontario,Male,30-39,Highschool,212
Ontario,Male,30-39,"NA",6
Ontario,Male,30-39,No Highschool,15
Ontario,Male,30-39,Undergraduate,97
Ontario,Male,40-49,Graduate+,60
Ontario,Male,40-49,Highschool,196
Ontario,Male,40-49,"NA",11
Ontario,Male,40-49,No Highschool,11
Ontario,Male,40-49,Undergraduate,113
Ontario,Male,50-59,Graduate+,54
Ontario,Male,50-59,Highschool,243
Ontario,Male,50-59,"NA",11
Ontario,Male,50-59,No Highschool,27
Ontario,Male,50-59,Undergraduate,108
Ontario,Male,60-69,Graduate+,57
Ontario,Male,60-69,Highschool,290
Ontario,Male,60-69,"NA",8
Ontario,Male,60-69,No Highschool,53
Ontario,Male,60-69,Undergraduate,79
Ontario,Male,70-79,Graduate+,44
Ontario,Male,70-79,Highschool,182
Ontario,Male,70-79,"NA",5
Ontario,Male,70-79,No Highschool,68
Ontario,Male,70-79,Undergraduate,60
Ontario,Male,80-89,Graduate+,23
Ontario,Male,80-89,Highschool,73
Ontario,Male,80-89,"NA",5
Ontario,Male,80-89,No Highschool,52
Ontario,Male,80-89,Undergraduate,18
Prince Edward Island,Female,18-29,Highschool,20
Prince Edward Island,Female,18-29,No Highschool,2
Prince Edward Island,Female,18-29,Undergraduate,4
Prince Edward Island,Female,30-39,Graduate+,3
Prince Edward Island,Female,30-39,Highschool,29
Prince Edward Island,Female,30-39,"NA",1
Prince Edward Island,Female,30-39,No Highschool,2
Prince Edward Island,Female,30-39,Undergraduate,15
Prince Edward Island,Female,40-49,Graduate+,11
Prince Edward Island,Female,40-49,Highschool,32
Prince Edward Island,Female,40-49,"NA",2
Prince Edward Island,Female,40-49,No Highschool,1
Prince Edward Island,Female,40-49,Undergraduate,9
Prince Edward Island,Female,50-59,Graduate+,6
Prince Edward Island,Female,50-59,Highschool,44
Prince Edward Island,Female,50-59,No Highschool,6
Prince Edward Island,Female,50-59,Undergraduate,10
Prince Edward Island,Female,60-69,Graduate+,6
Prince Edward Island,Female,60-69,Highschool,74
Prince Edward Island,Female,60-69,"NA",1
Prince Edward Island,Female,60-69,No Highschool,8
Prince Edward Island,Female,60-69,Undergraduate,8
Prince Edward Island,Female,70-79,Graduate+,5
Prince Edward Island,Female,70-79,Highschool,43
Prince Edward Island,Female,70-79,"NA",1
Prince Edward Island,Female,70-79,No Highschool,13
Prince Edward Island,Female,70-79,Undergraduate,6
Prince Edward Island,Female,80-89,Graduate+,2
Prince Edward Island,Female,80-89,Highschool,21
Prince Edward Island,Female,80-89,"NA",1
Prince Edward Island,Female,80-89,No Highschool,16
Prince Edward Island,Female,80-89,Undergraduate,4
Prince Edward Island,Male,18-29,Highschool,27
Prince Edward Island,Male,18-29,"NA",2
